hb,cancer_site_icd10code,cancer_site,sex,year,incidences_all_ages,crude_rate,crude_rate_lower95pc_confidence_interval,crude_rate_upper95pc_confidence_interval,standardised_incidence_ratio,sir_lower95pc_confidence_interval,sir_upper95pc_confidence_interval
S08000016,C67,Bladder,Male,2019,16,28.508811,16.29524875,46.29652299,105.7035248,60.41869758,171.655902
S08000016,C67,Bladder,Male,2020,9,16.05651895,7.342062901,30.48027448,61.44011907,28.09433479,116.6324843
S08000016,C67,Bladder,Female,1996,10,18.16530427,8.710969475,33.40664131,89.86143883,43.0920528,165.2583855
S08000016,C67,Bladder,Female,1997,12,21.78886589,11.25862496,38.06076379,127.8141948,66.04345955,223.2656761
S08000016,C67,Bladder,Female,1998,3,5.445041382,1.122898437,15.91272156,40.62915541,8.37870861,118.7356334
S08000016,C67,Bladder,Female,1999,12,21.86429561,11.29760059,38.19252432,200.9890244,103.8539618,351.0873773
S08000016,C67,Bladder,Female,2000,8,14.5069452,6.263069265,28.58446527,136.9079746,59.10714599,269.7632887
S08000016,C67,Bladder,Female,2001,6,10.81412324,3.968592638,23.5377936,86.82412032,31.86292193,188.9795573
S08000016,C67,Bladder,Female,2002,5,8.983595954,2.916949153,20.96471617,81.7490577,26.54369652,190.7750305
S08000016,C67,Bladder,Female,2003,6,10.6959498,3.925225067,23.28057976,95.23159914,34.94831848,207.2790992
S08000016,C67,Bladder,Female,2004,4,7.070760637,1.926544296,18.10395552,60.35094409,16.44360106,154.5223864
S08000016,C67,Bladder,Female,2005,7,12.29277887,4.942334665,25.32782271,108.6692421,43.69067142,223.9001716
S08000016,C67,Bladder,Female,2006,5,8.743551631,2.839007415,20.4045328,85.03241272,27.60979296,198.4372858
S08000016,C67,Bladder,Female,2007,6,10.37254732,3.806542058,22.57666872,99.35238978,36.46057602,216.2483256
S08000016,C67,Bladder,Female,2008,4,6.836671908,1.862762996,17.5045954,58.24250823,15.86912325,149.1239532
S08000016,C67,Bladder,Female,2009,4,6.816748752,1.857334606,17.4535842,58.37151396,15.90427297,149.4542591
S08000016,C67,Bladder,Female,2010,7,11.91306864,4.789671457,24.5454745,115.215845,46.32274532,237.3886756
S08000016,C67,Bladder,Female,2011,5,8.520064752,2.766441834,19.88298897,77.77702504,25.25398832,181.5056313
S08000016,C67,Bladder,Female,2012,9,15.37489109,7.030379243,29.18633249,125.3590041,57.32211922,237.9704384
S08000016,C67,Bladder,Female,2013,9,15.36649081,7.026538096,29.17038613,133.8324953,61.19673897,254.0557642
S08000016,C67,Bladder,Female,2014,3,5.108904821,1.053578997,14.93038788,39.87122336,8.222404799,116.5206343
S08000016,C67,Bladder,Female,2015,5,8.509624385,2.763051875,19.85862464,69.67115732,22.62203514,162.58924
S08000016,C67,Bladder,Female,2016,7,11.86159216,4.768975246,24.43941329,90.15926834,36.24870194,185.7625512
S08000016,C67,Bladder,Female,2017,6,10.12983066,3.717469321,22.04837673,88.97453363,32.65208572,193.6601018
S08000016,C67,Bladder,Female,2018,7,11.80816788,4.747495912,24.32933885,117.7750809,47.35169088,242.6616797
S08000016,C67,Bladder,Female,2019,7,11.78709145,4.739022095,24.28591335,114.4473477,46.01376954,235.8052774
S08000016,C67,Bladder,Female,2020,3,5.068594985,1.04526614,14.81258544,42.31455823,8.72627919,123.6610956
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,1996,2,1.889287739,0.22880151,6.824756913,44.79815097,5.425263913,161.8263244
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,1997,4,3.775009438,1.028563018,9.665523476,104.8848811,28.57760003,268.5469526
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,1998,5,4.715201811,1.531013193,11.00370811,162.3181944,52.70427591,378.7965191
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,1999,4,3.780361024,1.030021145,9.679225664,123.015554,33.51759818,314.9686762
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2000,5,4.705882353,1.527987191,10.9819596,132.7291415,43.09679096,309.7455399
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2001,4,3.740065451,1.019041958,9.576052992,127.6896949,34.79114425,326.9363332
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2002,7,6.509811215,2.617281737,13.41269912,181.055262,72.79360568,373.0430381
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2003,8,7.380754682,3.186486001,14.54302908,198.4636557,85.68251999,391.0525197
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2004,4,3.65463682,0.995765531,9.357321768,105.4582102,28.73381291,270.0149028
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2005,3,2.721088435,0.561153853,7.95217512,74.52950169,15.36977501,217.806831
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2006,2,1.804077215,0.21848212,6.516947202,49.78082198,6.028688489,179.8254453
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2007,9,8.021390374,3.667890461,15.22709755,199.9488831,91.42936158,379.5652631
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2008,2,1.764290755,0.213663795,6.37322483,46.87180938,5.676393568,169.3170916
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2009,7,6.162514306,2.477650367,12.69713475,167.8695655,67.49227182,345.8754638
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2010,4,3.518029903,0.958544744,9.007553804,103.1160775,28.09566058,264.0181129
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2011,8,7.024938532,3.032869843,13.84192942,175.5034196,75.76991973,345.8117016
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2012,1,0.879352796,0.022263285,4.899440196,21.38561337,0.541436853,119.1530114
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2013,7,6.146821215,2.47134093,12.66480098,145.3598903,58.44221494,299.4969299
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2014,1,0.876885303,0.022200814,4.885692205,19.56065414,0.495232886,108.9849894
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2015,4,3.507848812,0.955770739,8.981486166,75.1240717,20.46878112,192.3474605
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2016,1,0.873133677,0.022105831,4.86478948,21.25650918,0.538168218,118.4336889
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2017,7,6.085898105,2.44684668,12.53927609,150.0114094,60.31236685,309.0808369
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2018,4,3.470113646,0.945489176,8.884869155,88.9151311,24.22638065,227.6580499
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2019,4,3.462903645,0.943524694,8.866408688,91.84061835,25.02347746,235.1484592
S08000016,"C40-C41, C47+C49",Bone and connective tissue,All,2020,2,1.735508504,0.210178131,6.269253443,48.04562191,5.81854771,173.5573061
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,1996,1,1.968116512,0.049828396,10.96564336,36.73070169,0.929940853,204.6503713
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,1997,4,7.86070825,2.141778433,20.12653515,185.9494336,50.66496224,476.1044034
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,1998,3,5.888819095,1.21441607,17.20962836,180.31095440000001,37.18445365,526.945125
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,1999,1,1.963633507,0.049714896,10.94066565,54.56631129,1.381499392,304.0240277
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2000,5,9.783969944,3.176828409,22.83252207,219.0079203,71.11127557,511.0914283
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2001,2,3.885985194,0.470610835,14.03751466,108.5712687,13.14848434,392.1967531
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2002,5,9.638925838,3.129732983,22.49403751,219.0473083,71.12406477,511.1833469
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2003,5,9.561326347,3.104536639,22.31294619,206.173156,66.94386254,481.1393699
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2004,1,1.891109892,0.047878757,10.53658993,49.06547035,1.242230157,273.3753036
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2005,1,1.87596143,0.047495231,10.4521881,43.08006296,1.090692762,240.0267481
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2006,1,1.863064741,0.047168715,10.38033235,47.25728199,1.196450791,263.3007229
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2007,5,9.19878576,2.986820697,21.4668974,203.919169,66.2119991,475.8793162
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2008,1,1.823087581,0.046156581,10.15759387,39.78190952,1.007190746,221.6506132
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2009,6,10.92677241,4.009932898,23.78298341,230.6674593,84.65089217,502.0659487
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2010,3,5.460402978,1.126066367,15.95761466,124.8437949,25.74579188,364.8465471
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2011,6,10.87054987,3.989300215,23.6606106,219.0410278,80.38419672,476.760102
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2012,0,0,0,5.42872311,0,0,299.5732274
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2013,3,5.423875902,1.118533606,15.85086704,100.3333631,20.69115159,293.2166642
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2014,0,0,0,5.415376767,0,0,299.5732274
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2015,3,5.427604798,1.119302594,15.86176446,90.51344209,18.66604779,264.5186878
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2016,0,0,0,5.396160158,0,0,299.5732274
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2017,4,7.169872197,1.95354886,18.35772047,151.8908149,41.38513492,388.9008124
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2018,2,3.57213024,0.432601544,12.903762649999999,76.771364,9.297368344,277.3245634
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2019,1,1.781800688,0.045111288,9.927558026,40.94535512,1.036646639,228.1329172
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Male,2020,1,1.784057661,0.045168429,9.940133075,43.01328353,1.089002053,239.6546769
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,1996,1,1.816530427,0.045990569,10.12105975,57.40686702,1.453416036,319.8505912
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,1997,0,0,0,5.439467396,0,0,299.5732274
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,1998,2,3.630027588,0.439613182,13.11290778,141.1854087,17.098208,510.0102407
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,1999,3,5.466073901,1.127235848,15.9741875,211.4181662,43.59950857,617.8535984
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2000,0,0,0,5.432365491,0,0,299.5732274
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2001,2,3.604707748,0.436546832,13.02144381,154.9803424,18.76883846,559.8422841
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2002,2,3.593438382,0.435182059,12.98073498,126.2936444,15.29474624,456.2160675
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2003,3,5.3479749,1.102880995,15.62905211,186.8205837,38.5268957,545.969024
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2004,3,5.303070478,1.093620623,15.49782233,170.9520094,35.25441418,499.5943159
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2005,2,3.512222534,0.425346443,12.68735542,117.3714238,14.21422393,423.9859389
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2006,1,1.748710326,0.044273512,9.743190331,52.58908012,1.331440233,293.0076007
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2007,4,6.91503155,1.884113361,17.7052272,195.1982695,53.18495873,499.7850966
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2008,1,1.709167977,0.043272387,9.522874463,57.03687537,1.444048659,317.7891297
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2009,1,1.704187188,0.043146284,9.495123283,63.74473424,1.613876941,355.1629272
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2010,1,1.701866948,0.043087541,9.482195733,67.7451415,1.715158484,377.4517699
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2011,2,3.408025901,0.412727747,12.31096135,109.944304,13.31476527,397.1566285
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2012,1,1.708321233,0.043250949,9.518156706,52.58236317,1.331270174,292.9701763
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2013,4,6.829551469,1.860822916,17.48636425,219.1058723,59.69897584,560.9980551
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2014,1,1.702968274,0.043115424,9.488331927,47.52740913,1.203289818,264.805775
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2015,1,1.701924877,0.043089007,9.482518493,49.74876384,1.25952965,277.1823712
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2016,1,1.694513166,0.042901359,9.441223084,48.49105296,1.227687168,270.1748548
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2017,3,5.064915331,1.044507307,14.80183193,147.576709,30.43386528,431.2817689
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2018,2,3.373762251,0.40857826,12.18718926,105.6226167,12.79138889,381.5452081
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2019,3,5.051610622,1.041763556,14.76294992,156.814212,32.33886048,458.2776726
S08000016,"C40-C41, C47+C49",Bone and connective tissue,Female,2020,1,1.689531662,0.042775238,9.413467917,54.41149371,1.37757975,303.1614393
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,1996,12,11.33572643,5.857335262,19.80123281,136.5213309,70.54256384,238.4752907
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,1997,7,6.606266516,2.65606177,13.6114339,84.54926814,33.9931909,174.2038066
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,1998,6,5.658242173,2.076475154,12.31561111,73.62519686,27.01914965,160.2510576
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,1999,10,9.450902561,4.532075131,17.3805463,110.075186,52.78533027,202.4321862
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2000,9,8.470588235,3.873292327,16.07981501,91.1999734,41.70243522,173.1259578
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2001,19,17.76531089,10.69587767,27.74273359,202.7886495,122.092014,316.679596
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2002,13,12.0896494,6.437229137,20.67366867,143.4609195,76.38689761,245.3225414
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2003,12,11.07113202,5.720615471,19.33903962,133.7168245,69.09343448,233.5763825
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2004,17,15.53220649,9.048082658,24.86856721,176.0457915,102.5531611,281.8663661
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2005,14,12.6984127,6.942340387,21.3057788,158.902273,86.87335131,266.6110135
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2006,7,6.314270251,2.538664127,13.00981,71.88630503,28.90202297,148.1132629
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2007,8,7.130124777,3.078281797,14.04918825,82.73063425,35.71721582,163.0123302
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2008,11,9.703599153,4.844001735,17.3624193,100.8692422,50.3535623,180.4829373
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2009,10,8.803591865,4.221664492,16.19011889,96.18537806,46.12462747,176.8883349
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2010,6,5.277044855,1.936582457,11.48590503,59.64946787,21.89030342,129.8317793
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2011,9,7.903055848,3.613780381,15.00246176,85.60921504,39.1459845,162.512957
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2012,15,13.19029195,7.382506272,21.75538065,135.8264739,76.02104637,224.0251129
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2013,12,10.5374078,5.444832375,18.40673081,106.3926066,54.97461236,185.8464727
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2014,21,18.41459137,11.39892229,28.14865901,185.5485081,114.8574509,283.6306045
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2015,5,4.384811015,1.423736201,10.2326862,46.30538453,15.03523231,108.0613208
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2016,12,10.47760412,5.413930943,18.30226582,114.6722627,59.25283149,200.3093656
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2017,11,9.563554164,4.774091782,17.11184013,93.37488039,46.61240386,167.0734538
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2018,12,10.41034094,5.379175075,18.18477058,101.0903032,52.2348348,176.5844156
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2019,13,11.25443685,5.992513627,19.24542976,117.287877,62.45085479,200.5658417
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,All,2020,11,9.545296772,4.764977757,17.07917261,109.0408394,54.43279418,195.104182
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,1996,5,9.840582562,3.195210372,22.96463704,102.6385977,33.3264733,239.5242485
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,1997,5,9.825885312,3.190438215,22.93033856,111.4937459,36.20171581,260.1892104
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,1998,0,0,0,5.880441806,0,0,299.5732274
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,1999,4,7.85453403,2.140096166,20.11072669,75.96052372,20.69668614,194.4891099
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2000,8,15.65435191,6.758438042,30.84531391,148.2351857,63.99743176,292.0824101
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2001,12,23.31591117,12.04767153,40.72820457,215.7560434,111.484296,376.8823877
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2002,9,17.35006651,7.933555216,32.93583069,169.6659061,77.58205616,322.0787398
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2003,8,15.29812216,6.604643318,30.14339928,145.3754555,62.76280323,286.4476016
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2004,6,11.34665935,4.164024005,24.69690051,106.6184249,39.12708286,232.0634251
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2005,8,15.00769144,6.47925595,29.57113499,154.5627622,66.72923019,304.5502584
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2006,5,9.315323707,3.024660252,21.73885809,84.05381331,27.29204439,196.1535612
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2007,4,7.359028608,2.005087616,18.84203601,73.64846289,20.06672738,188.5693159
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2008,5,9.115437906,2.959757876,21.27239131,80.47586764,26.13029517,187.8038296
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2009,6,10.92677241,4.009932898,23.78298341,104.9166213,38.50255091,228.359315
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2010,5,9.10067163,2.954963306,21.23793174,87.95103416,28.55746139,205.2483747
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2011,5,9.058791557,2.941364961,21.14019763,81.43751562,26.44253965,190.0479952
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2012,13,23.55797981,12.54363208,40.28486294,196.4034995,104.5765917,335.8559657
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2013,3,5.423875902,1.118533606,15.85086704,48.58137928,10.01864835,141.9754061
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2014,11,19.88466892,9.926355081,35.57916541,163.5195231,81.62835676,292.5815955
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2015,3,5.427604798,1.119302594,15.86176446,49.12681161,10.13112961,143.5693908
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2016,5,9.006412566,2.924357645,21.01796253,83.81392914,27.21415465,195.5937516
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2017,6,10.7548083,3.946825097,23.40868993,87.12995353,31.97515733,189.6452274
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2018,9,16.07458608,7.350324345,30.51457153,137.1518321,62.71455112,260.3568994
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2019,10,17.81800688,8.544426877,32.76794904,164.2625384,78.77027198,302.0846565
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Male,2020,8,14.27246129,6.161835754,28.12243849,143.5995817,61.99610698,282.9484223
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Female,1996,7,12.71571299,5.112376115,26.19922863,178.6455537,71.82477797,368.0781181
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Female,1997,2,3.631477648,0.439788791,13.11814589,52.70592249,6.38293173,190.3919141
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Female,1998,6,10.89008276,3.996468443,23.70312549,162.7806742,59.73763853,354.3049978
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Female,1999,6,10.9321478,4.011905571,23.79468337,157.1171522,57.65922578,341.9778947
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Female,2000,1,1.81336815,0.045910507,10.10344067,22.36338694,0.566191937,124.6008171
S08000016,"C70-C72, C75.1-C75.3",Malignant brain cancer,Female,2001,7,12.61647712,5.072478149,25.99476481,183.8465377,73.91584324,378.7941327
